altitude,velocity,time
0.6080854028542997,12.159825290869613,0.10001999999999392
2.4318201402898003,24.310439161543993,0.20003000000005927
5.4700055685331685,36.44508255391169,0.3000400000001593
9.720647393528989,48.55582245627865,0.4000500000002593
15.180960899149284,60.634788445174095,0.500060000000359
21.847378226088953,72.67419300704589,0.6000699999999038
29.715557661135506,84.66635140185751,0.7000799999994487
38.7803948856395,96.60370096224463,0.8000899999989936
49.03603612163824,108.47881972719827,0.9000999999985384
60.47589310428066,120.28444431540161,1.0001099999980845
73.09265980005185,132.01348695033622,1.1001199999987397
86.8783307818943,143.65905155696987,1.2001299999993948
101.82422116470441,155.21444885808586,1.30014000000005
117.92098799792626,166.6732104071388,1.4001500000007052
135.15865300611065,178.0291015036275,1.5001600000013604
153.52662656336415,189.27613294639423,1.6001700000020156
173.01373278365244,200.40857158979597,1.7001800000026708
193.6082356058524,211.4209496772903,1.800190000003326
215.297865750437,222.30807293641243,1.9002000000039811
238.06984842347956,233.06502742847871,2.0002100000046363
261.9109316435012,243.68718515531188,2.1002200000052915
286.80741506731886,254.17020843393132,2.2002300000059467
312.74517919255874,264.51005305835355,2.300240000006602
339.70971481683114,274.70297027523367,2.400250000007257
367.68615263656767,284.74550760723656,2.5002600000079123
396.6592928722282,294.6345085643785,2.6002700000085675
426.6136348109441,304.367111289365,2.7002800000092226
457.53340616248954,313.9407461880604,2.800290000009878
489.4025921298303,323.35313260053454,2.900300000010533
522.2049641012161,332.6022745718234,3.000310000011188
555.9241078768762,341.68645578438986,3.1003200000118434
590.5434513496482,350.6042337166645,3.2003300000124986
626.046291565466,359.3544330934464,3.3003400000131538
662.4158210962081,367.9361386950285,3.400350000013809
699.6351536640598,376.3486875920856,3.500360000014464
737.6873489634341,384.5916608732103,3.6003700000151193
776.5554366329003,392.6648749311642,3.7003800000157745
816.2224393363442,400.56837237266404,3.8003900000164297
856.6713949187716,408.30241261480126,3.900400000017085
897.885377608585,415.86746222915673,4.000410000017721
939.8475182439917,423.26418509229586,4.100420000013935
982.5410235070781,430.49343239856177,4.200430000010149
1025.9491941543224,437.556232588248,4.300440000006363
1070.0554422377172,444.45378124111005,4.400450000002577
1114.8433073154233,451.187430981928,4.500459999998791
1160.296471655206,457.7586814414813,4.6004699999950045
1206.3987744384394,464.16916931293883,4.700479999991218
1253.134224975818,470.4206585402358,4.800489999987432
1300.4870149499143,476.51503067152544,4.900499999983646
1348.4415297024716,482.4542754075941,5.00050999997986
1396.9823585872377,488.2404813716382,5.100519999976074
1446.0943044118283,493.87582712369885,5.200529999972288
1495.7623919940088,499.36257243997375,5.3005399999685014
1545.9718758597207,504.703049874115,5.400549999964715
1596.708247111967,509.89965661496086,5.500559999960929
1647.9572395006112,514.954846652312,5.600569999957143
1699.7048347245754,519.871123259886,5.700579999953357
1751.9372669982888,524.6510318023555,5.800589999949571
1804.6410269152523,529.2971528708349,5.9005999999457845
1857.8028646416205,533.8120957495698,6.000609999941998
1911.409792472973,538.1984922144021,6.100619999938212
1965.449086787345,542.4589906620605,6.200629999934426
2019.9082894277121,546.5962505676624,6.30063999993064
2074.77520854631,550.6129372666397,6.400649999926854
2130.037918943183,554.5117170557621,6.500659999923068
2185.6847619303435,558.2952526072007,6.6006699999192815
2241.7043447528717,561.966198688386,6.700679999915495
2298.0690525565215,563.2780870032879,6.800689999911709
2353.8183059196203,551.6527748064545,6.900699999907923
2408.422152832079,540.3693982903451,7.000709999904137
2461.9139436765868,529.41120970809,7.100719999900351
2514.325407708969,518.7625230678983,7.200729999896565
2565.6867550185384,508.40863097671985,7.300739999892778
2616.0267705639617,498.3357291730479,7.400749999888992
2665.3729010115903,488.5308479318018,7.500759999885206
2713.7513350267527,478.98178962196175,7.60076999988142
2761.1870776011197,469.67707178241625,7.700779999877634
2807.7040189394143,460.60587515521786,7.800789999873848
2853.324998375768,451.75799617954414,7.9007999998700615
2898.07186374352,443.1238035058726,8.000809999866275
2941.965526580356,434.69419813874214,8.10081999986249
2985.0260135144,426.4605768595927,8.200829999858703
3027.2725141427204,418.41479861883835,8.300839999854917
3068.7234256858196,410.54915361956216,8.40084999985113
3109.396394674125,402.85633484451137,8.500859999847345
3149.308355899713,395.3294118038396,8.600869999843558
3188.475568845167,387.9618063040027,8.700879999839772
3226.9136517826832,380.74727005837207,8.800889999835986
3264.6376137191646,373.6798639781546,8.9008999998322
3301.6618843481974,366.7539389981317,9.000909999828414
3338.0003421555493,359.96411830598373,9.100919999824628
3373.6663408127047,353.30528085659347,9.200929999820842
3408.672733981325,346.77254606405546,9.300939999817055
3443.031898641599,340.3612595742633,9.40094999981327
3476.7557570478953,334.06698002987537,9.500959999809483
3509.8557974073115,327.885466747724,9.600969999805697
3542.3430933681643,321.81266823593796,9.70097999980191
3574.228322399314,315.84471148457044,9.800989999798125
3605.5217831347513,309.97789196945024,9.900999999794339
3636.233411751534,304.2086643143089,10.001009999790552
3666.3727974449307,298.5336335609356,10.101019999786766
3695.949197058751,292.94954700152465,10.20102999978298
3724.9715489254213,287.4532865312201,10.301039999779194
3753.448485965264,282.04186148244946,10.401049999775408
3781.388348092134,276.7124019058004,10.501059999771622
3808.7991939677668,271.4621522651526,10.601069999767835
3835.6888121452243,266.2884655173385,10.70107999976405
3862.0647316382083,261.1887975490995,10.801089999760263
3887.9342319508733,256.1607019462229,10.901099999756477
3913.3043526001484,251.20182507174795,11.00110999975269
3938.181902160353,246.30990143195874,11.101119999748905
3962.5734668579707,241.48274931050466,11.201129999745119
3986.4854187424394,236.7182666525278,11.301139999741332
